system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
5,7.504786491394043,Nakuru,1917.0,19.204347610473633,0.2602654695510864,1270.390380859375,-0.1287569775018359,35.82291711137917,0.4050580859184265,910.8822631835938,4.0,2024,7.504786491394043,"{""type"":""Point"",""coordinates"":[35.82291711137917,-0.1287569775018359]}"
7,3.4185266494750977,Nakuru,2341.0,23.62173843383789,0.3326723873615265,801.3780517578125,-0.5504510487109336,36.0401472436887,0.5416562557220459,956.3734130859375,4.0,2024,3.4185266494750977,"{""type"":""Point"",""coordinates"":[36.0401472436887,-0.5504510487109336]}"
8,6.532328128814697,Nakuru,2361.0,22.700000762939453,0.3717431128025055,924.5313110351562,-0.28412061820558804,35.811632499643174,0.6167652010917664,1008.7403564453125,4.0,2024,6.532328128814697,"{""type"":""Point"",""coordinates"":[35.811632499643174,-0.28412061820558804]}"
9,4.664446830749512,Nakuru,2345.0,20.939130783081055,0.21787063777446747,1088.5662841796875,-0.05260488519364256,36.20184425545979,0.37900662422180176,1058.868408203125,1.0,2024,4.664446830749512,"{""type"":""Point"",""coordinates"":[36.20184425545979,-0.05260488519364256]}"
16,4.642046928405762,Nakuru,2086.0,22.46086883544922,0.4071643650531769,931.31884765625,-0.6992414697968761,36.466250419074406,0.6074249744415283,1014.9779052734375,4.0,2024,4.642046928405762,"{""type"":""Point"",""coordinates"":[36.466250419074406,-0.6992414697968761]}"
20,6.291368007659912,Nakuru,1755.0,18.065217971801758,0.24198071658611298,1772.631103515625,-0.13077176087962677,35.97122789708278,0.37452271580696106,848.7538452148438,4.0,2024,6.291368007659912,"{""type"":""Point"",""coordinates"":[35.97122789708278,-0.13077176087962677]}"
26,5.168389320373535,Nakuru,2739.0,21.330434799194336,0.30656546354293823,694.8674926757812,-0.37783468459956154,35.68554052684891,0.3949311673641205,1036.11962890625,4.0,2024,5.168389320373535,"{""type"":""Point"",""coordinates"":[35.68554052684891,-0.37783468459956154]}"
27,3.9991888999938965,Nakuru,1906.0,21.669565200805664,0.37144625186920166,1310.0338134765625,-0.6684089767506587,36.38248959280405,0.5327134728431702,681.583740234375,1.0,2024,3.9991888999938965,"{""type"":""Point"",""coordinates"":[36.38248959280405,-0.6684089767506587]}"
29,5.991808891296387,Nakuru,1869.0,19.80869483947754,0.2837269604206085,1489.7117919921875,-0.329956034000833,36.035979714092505,0.48095765709877014,767.5543212890625,4.0,2024,5.991808891296387,"{""type"":""Point"",""coordinates"":[36.035979714092505,-0.329956034000833]}"
32,5.3371686935424805,Nakuru,2049.0,21.169565200805664,0.3120957911014557,945.5843505859375,-0.7529901000037489,36.45896840952967,0.49171167612075806,895.4133911132812,4.0,2024,5.3371686935424805,"{""type"":""Point"",""coordinates"":[36.45896840952967,-0.7529901000037489]}"
