system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
8,2.9079885482788086,Nyandarua,2343.0,21.052173614501953,0.3487279415130615,703.086669921875,-0.3107546367171753,36.47027657120809,0.5522728562355042,976.94140625,4.0,2024,2.9079885482788086,"{""type"":""Point"",""coordinates"":[36.47027657120809,-0.3107546367171753]}"
14,1.7622761726379395,Nyandarua,2471.0,22.169565200805664,0.3812495768070221,636.4963989257812,-0.6321291427509401,36.56415327516057,0.47918418049812317,1237.2969970703125,4.0,2024,1.7622761726379395,"{""type"":""Point"",""coordinates"":[36.56415327516057,-0.6321291427509401]}"
20,3.9813175201416016,Nyandarua,2424.0,21.126087188720703,0.3107258379459381,1293.6524658203125,-0.3635545853129507,36.324975670669524,0.461200088262558,846.8605346679688,1.0,2024,3.9813175201416016,"{""type"":""Point"",""coordinates"":[36.324975670669524,-0.3635545853129507]}"
24,2.875420570373535,Nyandarua,2277.0,19.782608032226562,0.37524113059043884,1209.62353515625,0.03102244782572272,36.43537711819679,0.562456488609314,855.5177612304688,4.0,2024,2.875420570373535,"{""type"":""Point"",""coordinates"":[36.43537711819679,0.03102244782572272]}"
43,2.0184664726257324,Nyandarua,2689.0,22.860870361328125,0.4156242907047272,719.7100219726562,-0.8274146908407417,36.56162414684852,0.5803130269050598,1475.797119140625,4.0,2024,2.0184664726257324,"{""type"":""Point"",""coordinates"":[36.56162414684852,-0.8274146908407417]}"
54,2.7530274391174316,Nyandarua,2381.0,21.417390823364258,0.42154720425605774,703.086669921875,-0.3254612841646553,36.489454027197105,0.6553783416748047,976.94140625,4.0,2024,2.7530274391174316,"{""type"":""Point"",""coordinates"":[36.489454027197105,-0.3254612841646553]}"
70,1.7001086473464966,Nyandarua,2268.0,18.517391204833984,0.33730947971343994,1271.9952392578125,-0.0014360876631752753,36.49219367874902,0.5120435357093811,744.7572631835938,4.0,2024,1.7001086473464966,"{""type"":""Point"",""coordinates"":[36.49219367874902,-0.0014360876631752753]}"
71,2.8612871170043945,Nyandarua,2002.0,16.2608699798584,0.38556960225105286,1268.8878173828125,0.04537346069064805,36.57948775043068,0.5352984666824341,626.6849975585938,1.0,2024,2.8612871170043945,"{""type"":""Point"",""coordinates"":[36.57948775043068,0.04537346069064805]}"
78,1.9816495180130005,Nyandarua,2688.0,21.860870361328125,0.43605124950408936,898.3021850585938,-0.8597911272619642,36.580055131821716,0.6154067516326904,1510.875244140625,4.0,2024,1.9816495180130005,"{""type"":""Point"",""coordinates"":[36.580055131821716,-0.8597911272619642]}"
86,3.0818419456481934,Nyandarua,2340.0,20.326086044311523,0.24594815075397491,703.086669921875,-0.2692844908556709,36.45671430646962,0.3974683880805969,959.3812255859375,4.0,2024,3.0818419456481934,"{""type"":""Point"",""coordinates"":[36.45671430646962,-0.2692844908556709]}"
87,1.6295671463012695,Nyandarua,2634.0,19.54347801208496,0.3385825455188751,839.247314453125,-0.16821787596868393,36.3394158327937,0.513643205165863,1030.8326416015625,4.0,2024,1.6295671463012695,"{""type"":""Point"",""coordinates"":[36.3394158327937,-0.16821787596868393]}"
100,0.9887483716011047,Nyandarua,2637.0,23.12173843383789,0.3842298984527588,719.7100219726562,-0.8190251333664816,36.60575422993814,0.5624706745147705,1799.856201171875,4.0,2024,0.9887483716011047,"{""type"":""Point"",""coordinates"":[36.60575422993814,-0.8190251333664816]}"
101,3.0319573879241943,Nyandarua,2307.0,19.095651626586914,0.2795889675617218,1040.6885986328125,-0.2543688466159933,36.418981422962965,0.4225653409957886,931.769287109375,1.0,2024,3.0319573879241943,"{""type"":""Point"",""coordinates"":[36.418981422962965,-0.2543688466159933]}"
104,2.6285600662231445,Nyandarua,2254.0,19.26956558227539,0.3862083852291107,1209.62353515625,0.040614004570994,36.448767618314115,0.5704902410507202,855.5177612304688,1.0,2024,2.6285600662231445,"{""type"":""Point"",""coordinates"":[36.448767618314115,0.040614004570994]}"
