system:index,county_name,et_mean,gdd_total,ndvi_mean,potential_yield,precip_sum,ward_id,ward_name,year,.geo
00000000000000000005,Nakuru,21.723168522500583,1156.4572593986115,0.502910746092729,6.000436246104881,970.8280750677529,KE032174,Bahati,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,Nakuru,21.906943011479644,1297.187167804294,0.514799429414766,4.67854693001737,750.1146851636171,KE032169,Gilgil,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,Nakuru,21.420103147225223,856.5368226460603,0.44795143018366385,5.990652145761851,1025.953082622818,KE032171,Kuresoi North,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,Nakuru,22.409023272475018,814.1586554560337,0.5130639473187844,5.7809537066841425,987.3437219149185,KE032170,Kuresoi South,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,Nakuru,22.335453334427623,884.3081863807438,0.5124408727487088,5.388132980357441,1086.0858999401619,KE032166,Molo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,Nakuru,22.376092661916665,1129.9780210663694,0.5169655929391178,3.9213065478979745,988.2296485361509,KE032168,Naivasha,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,Nakuru,20.01046233781675,1471.7934463923946,0.40048315458515826,4.727228399431682,809.9186891899532,KE032176,Nakuru Town East,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,Nakuru,20.976482370903717,1457.7681923738503,0.4628312815608268,5.936884538293784,783.4242076113761,KE032175,Nakuru Town West,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,Nakuru,22.013513226307374,1049.8640125632312,0.5125448927240295,4.65889464679748,983.0061899735532,KE032167,Njoro,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,Nakuru,19.483702157017603,1533.578742594709,0.4739013708247138,6.365413120070555,872.2527296389129,KE032173,Rongai,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,Nakuru,19.868240243160297,1459.164297343025,0.5022329432923506,5.287882430244293,908.9440390695352,KE032172,Subukia,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
